Nome,Altura,Peso,Idade,Experiência,Posição,Universidade,Salário
Jayson Tatum,Duke/USA,6-8,jayson-tatum,210,0,Duke,Y
Derrick White,Colorado/USA,6-4,derrick-white,190,9,Colorado,Y
Jaylen Brown,California/USA,6-6,jaylen-brown,223,7,California,Y
Al Horford,Florida/Dominican Republic,6-9,al-horford,240,42,Florida,Y
Marcus Smart,Oklahoma State/USA,6-3,marcus-smart,220,36,Oklahoma State,Y
Robert Williams III,Texas A&M/USA,6-9,robert-williams-iii,249,35,Texas A&M,Y
Malcolm Brogdon,Virginia/USA,6-4,malcolm-brogdon,229,15,Virginia,Y
Sam Hauser,Virginia/USA,6-7,sam-hauser,217,30,Virginia,Y
Luke Kornet,Vanderbilt/USA,7-1,luke-kornet,250,40,Vanderbilt,Y
Payton Pritchard,Oregon/USA,6-1,payton-pritchard,195,11,Oregon,Y
Grant Williams,Tennessee/USA,6-6,grant-williams,236,2,Tennessee,Y
Juwan Morgan,Indiana/USA,6-7,juwan-morgan,232,16,Indiana,N
Matisse Thybulle,Washington/USA,6-5,matisse-thybulle,201,4,Washington,N
