id,full_name,abbreviation,nickname,city,state,year_founded
1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002
1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1980
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976
1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,1946
1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1967
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989
1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1968
1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970
1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1948
1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974
1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995
