Pontos por Jogo,Assistências por Jogo,Rebotes por Jogo,Cestas de 3 Pontos Convertidas,Derrotas em Casa,Derrotas Fora de Casa
118.27,26.24,45.89,1705,6,16
117.61,26.21,44.91,1003,9,7
4864,1126,3738,12537,2851,1705,1720
2515,621,1894,6586,1328,1003,921
726,3738,6.25,11.28,16.25
435,1894,5.7,11.38,16.79
2024-06-17,BOS vs. DAL,W,Casa,106
2024-06-14,BOS @ DAL,L,Fora,84
2024-06-12,BOS @ DAL,W,Fora,106
2024-06-09,BOS vs. DAL,W,Casa,105
2024-06-06,BOS vs. DAL,W,Casa,107
2024-05-27,BOS @ IND,W,Fora,105
2024-05-25,BOS @ IND,W,Fora,114
2024-05-23,BOS vs. IND,W,Casa,126
2024-05-21,BOS vs. IND,W,Casa,133
2024-05-15,BOS vs. CLE,W,Casa,113
2024-05-13,BOS @ CLE,W,Fora,109
2024-05-11,BOS @ CLE,W,Fora,106
2024-05-09,BOS vs. CLE,L,Casa,94
2024-05-07,BOS vs. CLE,W,Casa,120
2024-05-01,BOS vs. MIA,W,Casa,118
2024-04-29,BOS @ MIA,W,Fora,102
2024-04-27,BOS @ MIA,W,Fora,104
2024-04-24,BOS vs. MIA,L,Casa,101
2024-04-21,BOS vs. MIA,W,Casa,114
2024-04-14,BOS vs. WAS,W,Casa,132
2024-04-12,BOS vs. CHA,W,Casa,131
2024-04-11,BOS vs. NYK,L,Casa,109
2024-04-09,BOS @ MIL,L,Fora,91
2024-04-07,BOS vs. POR,W,Casa,124
2024-04-05,BOS vs. SAC,W,Casa,101
2024-04-03,BOS vs. OKC,W,Casa,135
2024-04-01,BOS @ CHA,W,Fora,118
2024-03-30,BOS @ NOP,W,Fora,104
2024-03-28,BOS @ ATL,L,Fora,122
2024-03-25,BOS @ ATL,L,Fora,118
2024-03-23,BOS @ CHI,W,Fora,124
2024-03-22,BOS @ DET,W,Fora,129
2024-03-20,BOS vs. MIL,W,Casa,122
2024-03-18,BOS vs. DET,W,Casa,119
2024-03-17,BOS @ WAS,W,Fora,130
2024-03-14,BOS vs. PHX,W,Casa,127
2024-03-12,BOS @ UTA,W,Fora,123
2024-03-11,BOS @ POR,W,Fora,121
2024-03-09,BOS @ PHX,W,Fora,117
2024-03-07,BOS @ DEN,L,Fora,109
2024-03-05,BOS @ CLE,L,Fora,104
2024-03-03,BOS vs. GSW,W,Casa,140
2024-03-01,BOS vs. DAL,W,Casa,138
2024-02-27,BOS vs. PHI,W,Casa,117
2024-02-24,BOS @ NYK,W,Fora,116
2024-02-22,BOS @ CHI,W,Fora,129
2024-02-14,BOS vs. BKN,W,Casa,136
2024-02-13,BOS @ BKN,W,Fora,118
2024-02-11,BOS @ MIA,W,Fora,110
2024-02-09,BOS vs. WAS,W,Casa,133
2024-02-07,BOS vs. ATL,W,Casa,125
2024-02-04,BOS vs. MEM,W,Casa,131
2024-02-01,BOS vs. LAL,L,Casa,105
2024-01-30,BOS vs. IND,W,Casa,129
2024-01-29,BOS vs. NOP,W,Casa,118
2024-01-27,BOS vs. LAC,L,Casa,96
2024-01-25,BOS @ MIA,W,Fora,143
2024-01-22,BOS @ DAL,W,Fora,119
2024-01-21,BOS @ HOU,W,Fora,116
2024-01-19,BOS vs. DEN,L,Casa,100
2024-01-17,BOS vs. SAS,W,Casa,117
2024-01-15,BOS @ TOR,W,Fora,105
2024-01-13,BOS vs. HOU,W,Casa,145
2024-01-11,BOS @ MIL,L,Fora,102
2024-01-10,BOS vs. MIN,W,Casa,127
2024-01-08,BOS @ IND,L,Fora,131
2024-01-06,BOS @ IND,W,Fora,118
2024-01-05,BOS vs. UTA,W,Casa,126
2024-01-02,BOS @ OKC,L,Fora,123
2023-12-31,BOS @ SAS,W,Fora,134
2023-12-29,BOS vs. TOR,W,Casa,120
2023-12-28,BOS vs. DET,W,Casa,128
2023-12-25,BOS @ LAL,W,Fora,126
2023-12-23,BOS @ LAC,W,Fora,145
2023-12-20,BOS @ SAC,W,Fora,144
2023-12-19,BOS @ GSW,L,Fora,126
2023-12-17,BOS vs. ORL,W,Casa,114
2023-12-15,BOS vs. ORL,W,Casa,128
2023-12-14,BOS vs. CLE,W,Casa,116
2023-12-12,BOS vs. CLE,W,Casa,120
2023-12-08,BOS vs. NYK,W,Casa,133
2023-12-04,BOS @ IND,L,Fora,112
2023-12-01,BOS vs. PHI,W,Casa,125
2023-11-28,BOS vs. CHI,W,Casa,124
2023-11-26,BOS vs. ATL,W,Casa,113
2023-11-24,BOS @ ORL,L,Fora,96
2023-11-22,BOS vs. MIL,W,Casa,119
2023-11-20,BOS @ CHA,L,Fora,118
2023-11-19,BOS @ MEM,W,Fora,102
2023-11-17,BOS @ TOR,W,Fora,108
2023-11-15,BOS @ PHI,W,Fora,117
2023-11-13,BOS vs. NYK,W,Casa,114
2023-11-11,BOS vs. TOR,W,Casa,117
2023-11-10,BOS vs. BKN,W,Casa,121
2023-11-08,BOS @ PHI,L,Fora,103
2023-11-06,BOS @ MIN,L,Fora,109
2023-11-04,BOS @ BKN,W,Fora,124
2023-11-01,BOS vs. IND,W,Casa,155
2023-10-30,BOS @ WAS,W,Fora,126
2023-10-27,BOS vs. MIA,W,Casa,119
2023-10-25,BOS @ NYK,W,Fora,108
2023-10-19,BOS @ CHA,W,Fora,127
2023-10-17,BOS vs. NYK,W,Casa,123
2023-10-11,BOS @ PHI,W,Fora,112
2023-10-09,BOS @ NYK,L,Fora,107
2023-10-08,BOS vs. PHI,W,Casa,114
2025-02-04,BOS @ CLE,W,Fora,112
2025-02-02,BOS @ PHI,W,Fora,118
2025-01-31,BOS @ NOP,W,Fora,118
2025-01-29,BOS vs. CHI,W,Casa,122
2025-01-27,BOS vs. HOU,L,Casa,112
2025-01-25,BOS @ DAL,W,Fora,122
2025-01-23,BOS @ LAL,L,Fora,96
2025-01-22,BOS @ LAC,W,Fora,117
2025-01-20,BOS @ GSW,W,Fora,125
2025-01-18,BOS vs. ATL,L,Casa,115
2025-01-17,BOS vs. ORL,W,Casa,121
2025-01-15,BOS @ TOR,L,Fora,97
2025-01-12,BOS vs. NOP,W,Casa,120
2025-01-10,BOS vs. SAC,L,Casa,97
2025-01-07,BOS @ DEN,W,Fora,118
2025-01-05,BOS @ OKC,L,Fora,92
2025-01-03,BOS @ HOU,W,Fora,109
2025-01-02,BOS @ MIN,W,Fora,118
2024-12-31,BOS vs. TOR,W,Casa,125
2024-12-29,BOS vs. IND,L,Casa,114
2024-12-27,BOS vs. IND,W,Casa,142
2024-12-25,BOS vs. PHI,L,Casa,114
2024-12-23,BOS @ ORL,L,Fora,104
2024-12-21,BOS @ CHI,W,Fora,123
2024-12-19,BOS vs. CHI,L,Casa,108
2024-12-15,BOS @ WAS,W,Fora,112
2024-12-12,BOS vs. DET,W,Casa,123
2024-12-07,BOS vs. MEM,L,Casa,121
2024-12-06,BOS vs. MIL,W,Casa,111
2024-12-04,BOS vs. DET,W,Casa,130
2024-12-02,BOS vs. MIA,W,Casa,108
2024-12-01,BOS @ CLE,L,Fora,111
2024-11-29,BOS @ CHI,W,Fora,138
2024-11-25,BOS vs. LAC,W,Casa,126
2024-11-24,BOS vs. MIN,W,Casa,107
2024-11-22,BOS @ WAS,W,Fora,108
2024-11-19,BOS vs. CLE,W,Casa,120
2024-11-16,BOS vs. TOR,W,Casa,126
2024-11-13,BOS @ BKN,W,Fora,139
2024-11-12,BOS vs. ATL,L,Casa,116
2024-11-10,BOS @ MIL,W,Fora,113
2024-11-08,BOS vs. BKN,W,Casa,108
2024-11-06,BOS vs. GSW,L,Casa,112
2024-11-04,BOS @ ATL,W,Fora,123
2024-11-02,BOS @ CHA,W,Fora,113
2024-11-01,BOS @ CHA,W,Fora,124
2024-10-30,BOS @ IND,L,Fora,132
2024-10-28,BOS vs. MIL,W,Casa,119
2024-10-26,BOS @ DET,W,Fora,124
2024-10-24,BOS @ WAS,W,Fora,122
2024-10-22,BOS vs. NYK,W,Casa,132
2024-10-15,BOS @ TOR,L,Fora,118
2024-10-13,BOS vs. TOR,W,Casa,115
2024-10-12,BOS vs. PHI,W,Casa,139
2024-10-06,DEN @ BOS,W,Fora,130
2024-10-04,BOS @ DEN,W,Fora,107
2024-07-13,-1
2024-07-15,0
2024-07-17,1
2024-07-19,0
2024-07-21,-1
2024-10-22,0
2024-10-24,1
2024-10-26,2
2024-10-28,3
2024-10-30,2
2024-11-01,3
2024-11-02,4
2024-11-04,5
2024-11-06,4
2024-11-08,5
2024-11-10,6
2024-11-12,5
2024-11-13,6
2024-11-16,7
2024-11-19,8
2024-11-22,9
2024-11-24,10
2024-11-25,11
2024-11-29,12
2024-12-01,11
2024-12-02,12
2024-12-04,13
2024-12-06,14
2024-12-07,13
2024-12-12,14
2024-12-15,15
2024-12-19,14
2024-12-21,15
2024-12-23,14
2024-12-25,13
2024-12-27,14
2024-12-29,13
2024-12-31,14
2025-01-02,15
2025-01-03,16
2025-01-05,15
2025-01-07,16
2025-01-10,15
2025-01-12,16
2025-01-15,15
2025-01-17,16
2025-01-18,15
2025-01-20,16
2025-01-22,17
2024-10-04,1
2024-10-06,2
2024-10-12,3
2024-10-13,4
2024-10-15,3
2024-10-22,4
2024-10-24,5
2024-10-26,6
2024-10-28,7
2024-10-30,6
2024-11-01,7
2024-11-02,8
2024-11-04,9
2024-11-06,8
2024-11-08,9
2024-11-10,10
2024-11-12,9
2024-11-13,10
2024-11-16,11
2024-11-19,12
2024-11-22,13
2024-11-24,14
2024-11-25,15
2024-11-29,16
2024-12-01,15
2024-12-02,16
2024-12-04,17
2024-12-06,18
2024-12-07,17
2024-12-12,18
2024-12-15,19
2024-12-19,18
2024-12-21,19
2024-12-23,18
2024-12-25,17
2024-12-27,18
2024-12-29,17
2024-12-31,18
2025-01-02,19
2025-01-03,20
2025-01-05,19
2025-01-07,20
2025-01-10,19
2025-01-12,20
2025-01-15,19
2025-01-17,20
2025-01-18,19
2025-01-20,20
